,make,model,year,kms,kind,price
2167,Volkswagen,Vento,2015,24880,Sedán,13243.24
4337,Volkswagen,Saveiro,2012,84000,Pick-Up,7162.16
4735,Ford,Ecosport,2013,45450,SUV,10405.41
9710,Volkswagen,Bora,2012,120000,Sedán,7702.7
3469,Ford,Fiesta Kinetic Design,2015,23000,Hatchback,9324.32
3054,Volkswagen,Gol,2013,54000,Hatchback,4594.59
1846,Volkswagen,Bora,2011,118000,Sedán,5675.68
6092,Volkswagen,Amarok,2013,97000,Pick-Up,12891.89
7221,Ford,Ka,2011,73000,Hatchback,3648.65
4292,Volkswagen,Gol Country,2012,89000,Rural,4459.46
8219,Ford,Fiesta Kinetic Design,2016,30000,Hatchback,8513.51
8562,Ford,Focus III,2015,59000,Sedán,9459.46
6430,Volkswagen,Suran,2013,73200,Monovolumen,6997.3
5452,Volkswagen,Suran,2011,101000,Monovolumen,6216.22
2574,Honda,CR-V,2011,160000,SUV,14054.05
4190,Ford,Ka,2012,55000,Hatchback,4459.46
7619,Volkswagen,Bora,2014,58000,Sedán,7972.97
9792,Volkswagen,Gol Trend,2014,87400,Hatchback,6081.08
1700,Volkswagen,Saveiro,2017,19000,Pick-Up,10527.03
9616,Ford,Focus II,2014,55000,Hatchback,9054.05
5551,Volkswagen,Amarok,2013,88500,Pick-Up,13783.78
4319,Volkswagen,Voyage,2014,62000,Sedán,6081.08
8335,Ford,Focus III,2015,59000,Hatchback,9864.86
580,Ford,Focus II,2011,142000,Hatchback,7027.03
9676,Ford,Ranger,2011,174000,Pick-Up,7837.84
5804,Ford,Ranger,2015,68000,Pick-Up,22702.7
6981,Volkswagen,Fox,2013,60000,Hatchback,7297.3
2691,Volkswagen,Gol Country,2012,103000,Rural,5000.0
4482,Volkswagen,Gol,2011,100000,Hatchback,4189.19
9780,Ford,Fiesta Kinetic Design,2011,110000,Hatchback,6486.49
1850,Volkswagen,Bora,2011,59000,Sedán,6486.49
7150,Ford,Fiesta Kinetic Design,2017,12456,Hatchback,10810.81
587,Ford,Fiesta Kinetic Design,2012,80000,Hatchback,7297.3
7543,Ford,Fiesta Kinetic Design,2014,71009,Hatchback,8243.24
9347,Volkswagen,Crossfox,2017,17963,Hatchback,10810.81
8684,Volkswagen,Gol Trend,2014,72000,Hatchback,5000.0
64,Volkswagen,Polo,2018,8733,Sedán,12702.7
9178,Volkswagen,Suran,2011,87500,Monovolumen,5054.05
5827,Volkswagen,Gol,2011,100250,Hatchback,4324.32
1767,Ford,Focus II,2011,71000,Hatchback,6729.73
886,Ford,Ecosport,2014,80000,SUV,10000.0
712,Volkswagen,Saveiro,2013,93000,Pick-Up,5945.95
1336,Volkswagen,Suran,2014,70000,Monovolumen,7567.57
3488,Volkswagen,Saveiro,2017,18950,Pick-Up,12432.43
1493,Volkswagen,Suran,2016,35000,Monovolumen,8378.38
9579,Ford,Kuga,2012,110000,SUV,9459.46
6291,Volkswagen,Suran,2014,69000,Monovolumen,7297.3
2901,Volkswagen,Golf,2017,15500,Hatchback,22702.7
8512,Volkswagen,Bora,2012,41000,Sedán,6756.76
3107,Volkswagen,Bora,2012,88000,Sedán,8459.46
122,Volkswagen,Bora,2013,100000,Sedán,6621.62
2176,Volkswagen,Saveiro,2016,48000,Pick-Up,10540.54
2104,Volkswagen,Amarok,2012,129000,Pick-Up,16486.49
5142,Ford,Focus II,2011,65000,Hatchback,6837.84
5525,Ford,Ecosport,2011,89000,SUV,6078.38
7818,Honda,City,2011,118600,Sedán,6216.22
9805,Volkswagen,Gol Trend,2012,120000,Hatchback,5135.14
8731,Ford,Focus III,2014,51400,Hatchback,11216.22
6760,Volkswagen,Gol,2011,99000,Hatchback,3459.46
3801,Volkswagen,Golf,2012,52000,Hatchback,15945.95
3070,Ford,Focus III,2016,32000,Sedán,12297.3
2029,Ford,Fiesta,2012,62000,Hatchback,4864.86
3743,Volkswagen,Voyage,2011,88000,Sedán,5135.14
442,Volkswagen,Gol Trend,2012,131000,Hatchback,5540.54
2386,Volkswagen,Amarok,2015,28500,Pick-Up,25675.68
8743,Volkswagen,Amarok,2012,115000,Pick-Up,18378.38
3169,Ford,Fiesta Kinetic Design,2011,72300,Hatchback,7162.16
8207,Ford,Ranger,2014,55000,Pick-Up,15675.68
