Energy(calc),Energy,Sum,Scan1,Scan2,KMG,BE1,Fermi,BE
158.4,158.41,164610,81584,83026,1253.6,1088.59,9,1095.19
158.2,158.26,164693,81799,82894,1253.6,1088.74,9,1095.34
158,158.04,165417,82318,83099,1253.6,1088.96,9,1095.56
157.8,157.85,165117,81647,83470,1253.6,1089.15,9,1095.75
157.6,157.62,165298,81920,83378,1253.6,1089.38,9,1095.98
157.4,157.39,166219,82402,83817,1253.6,1089.61,9,1096.21
157.2,157.2,166684,82967,83717,1253.6,1089.8,9,1096.4
157,157.06,167201,83586,83615,1253.6,1089.94,9,1096.54
156.8,156.75,166882,83057,83825,1253.6,1090.25,9,1096.85
156.6,156.59,166977,82397,84580,1253.6,1090.41,9,1097.01
156.4,156.42,167702,83212,84490,1253.6,1090.58,9,1097.18
156.2,156.18,168363,83091,85272,1253.6,1090.82,9,1097.42
156,156.05,169104,83290,85814,1253.6,1090.95,9,1097.55
155.8,155.88,169904,83742,86162,1253.6,1091.12,9,1097.72
155.6,155.7,169781,83900,85881,1253.6,1091.3,9,1097.9
155.4,155.43,170545,84433,86112,1253.6,1091.57,9,1098.17
155.2,155.22,169771,84341,85430,1253.6,1091.78,9,1098.38
155,155.05,161644,84127,77517,1253.6,1091.95,9,1098.55
154.8,154.81,163982,85580,78402,1253.6,1092.19,9,1098.79
154.6,154.59,164935,85601,79334,1253.6,1092.41,9,1099.01
154.4,154.41,165733,86188,79545,1253.6,1092.59,9,1099.19
154.2,154.24,166568,86518,80050,1253.6,1092.76,9,1099.36
154,154,167794,86768,81026,1253.6,1093,9,1099.6
153.8,153.83,167994,87355,80639,1253.6,1093.17,9,1099.77
153.6,153.65,168669,87527,81142,1253.6,1093.35,9,1099.95
153.4,153.48,170035,87627,82408,1253.6,1093.52,9,1100.12
153.2,153.25,171110,88247,82863,1253.6,1093.75,9,1100.35
153,153.07,172484,88957,83527,1253.6,1093.93,9,1100.53
152.8,152.88,173910,89563,84347,1253.6,1094.12,9,1100.72
152.6,152.64,174616,89651,84965,1253.6,1094.36,9,1100.96
152.4,152.42,175515,90019,85496,1253.6,1094.58,9,1101.18
152.2,152.25,176626,90606,86020,1253.6,1094.75,9,1101.35
152,152.04,178755,91370,87385,1253.6,1094.96,9,1101.56
151.8,151.82,179736,91558,88178,1253.6,1095.18,9,1101.78
151.6,151.62,180492,91867,88625,1253.6,1095.38,9,1101.98
151.4,151.46,181718,92540,89178,1253.6,1095.54,9,1102.14
151.2,151.3,183242,92952,90290,1253.6,1095.7,9,1102.3
151,151.07,183283,92999,90284,1253.6,1095.93,9,1102.53
150.8,150.88,184822,93770,91052,1253.6,1096.12,9,1102.72
150.6,150.69,185623,93899,91724,1253.6,1096.31,9,1102.91
150.4,150.43,186738,94340,92398,1253.6,1096.57,9,1103.17
150.2,150.22,187555,94710,92845,1253.6,1096.78,9,1103.38
150,150.04,188012,94877,93135,1253.6,1096.96,9,1103.56
149.8,149.84,188828,95546,93282,1253.6,1097.16,9,1103.76
149.6,149.6,189589,95788,93801,1253.6,1097.4,9,1104
149.4,149.41,189124,95638,93486,1253.6,1097.59,9,1104.19
149.2,149.2,190281,96129,94152,1253.6,1097.8,9,1104.4
149,149,190504,96632,93872,1253.6,1098,9,1104.6
148.8,148.82,190320,96505,93815,1253.6,1098.18,9,1104.78
148.6,148.65,190636,96817,93819,1253.6,1098.35,9,1104.95
148.4,148.49,190907,96832,94075,1253.6,1098.51,9,1105.11
148.2,148.23,190766,96596,94170,1253.6,1098.77,9,1105.37
148,148.03,188969,95900,93069,1253.6,1098.97,9,1105.57
147.8,147.86,187900,95426,92474,1253.6,1099.14,9,1105.74
147.6,147.65,187586,95102,92484,1253.6,1099.35,9,1105.95
147.4,147.39,187163,94635,92528,1253.6,1099.61,9,1106.21
147.2,147.2,187276,95515,91761,1253.6,1099.8,9,1106.4
